City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
puri,19.8,85.85,75.2,78,75,4.1,IN,1587224418
sawtell,-30.38,153.1,62.6,88,70,1.92,AU,1587224418
taoudenni,22.68,-3.98,104.72,12,31,4.75,ML,1587224419
grand gaube,-20.01,57.66,78.8,74,75,6.7,MU,1587224419
alexandria,31.22,29.96,67.37,63,0,6.61,EG,1587224419
isla mujeres,21.23,-86.73,86.0,70,75,5.1,MX,1587224420
vinh,18.67,105.67,76.91,84,43,2.43,VN,1587224420
fuerte olimpo,-21.04,-57.87,88.16,30,2,0.63,PY,1587224420
darhan,49.49,105.92,39.15,52,100,3.78,MN,1587224420
sorong,-0.88,131.25,77.92,86,99,0.67,ID,1587224421
proletarsk,46.7,41.72,55.44,66,100,2.96,RU,1587224421
cotonou,6.37,2.42,88.56,64,25,6.33,BJ,1587224421
yanam,16.73,82.22,83.23,75,47,4.89,IN,1587224421
dongsheng,39.82,109.98,41.9,51,100,4.92,CN,1587224421
dukat,62.55,155.55,-1.52,83,100,2.73,RU,1587224422
sakaraha,-22.9,44.53,78.91,26,0,1.91,MG,1587224422
anloga,5.79,0.9,89.6,70,20,8.2,GH,1587224423
hirara,24.8,125.28,74.21,87,96,6.86,JP,1587224423
nago,26.59,127.98,71.6,88,1,3.6,JP,1587224423
saint-pierre,-21.34,55.48,77.0,83,6,10.8,RE,1587224423
baruun-urt,46.68,113.28,46.27,51,100,3.95,MN,1587224424
springfield,37.22,-93.3,48.99,56,1,3.6,US,1587224399
bindi,9.92,-11.45,98.4,29,83,1.93,SL,1587224424
marrakesh,31.63,-8.01,78.8,36,75,2.6,MA,1587224424
port augusta,-32.5,137.77,57.2,87,32,3.6,AU,1587224425
morros,-9.45,-46.3,81.43,64,93,1.6,BR,1587224289
husavik,66.04,-17.34,50.0,57,75,20.1,IS,1587224425
nipawin,53.37,-104.0,28.4,68,75,7.2,CA,1587224425
egvekinot,66.32,-179.17,6.46,88,100,9.79,RU,1587224425
lianzhou,24.78,112.38,71.04,82,100,1.15,CN,1587224426
fairlie,55.76,-4.86,59.0,57,0,2.68,GB,1587224426
laguna,38.42,-121.42,57.0,71,90,2.1,US,1587224426
mahibadhoo,3.78,72.97,86.29,73,22,4.58,MV,1587224426
piacabucu,-10.41,-36.43,85.71,65,9,2.86,BR,1587224427
bilma,18.69,12.92,102.18,7,0,4.0,NE,1587224427
jawhar,2.78,45.5,86.94,58,92,7.14,SO,1587224427
imaichi,36.72,139.68,46.0,83,99,2.68,JP,1587224427
arman,59.7,150.17,10.04,90,100,7.9,RU,1587224428
poselki,53.13,46.5,42.62,58,81,4.01,RU,1587224429
jagalur,14.53,76.35,89.22,23,63,1.03,IN,1587224429
langxiang,46.95,128.88,47.52,44,0,1.78,CN,1587224429
ahipara,-35.17,173.17,63.64,83,34,5.46,NZ,1587224430
zahirabad,17.68,77.62,90.93,20,74,1.18,IN,1587224430
carutapera,-1.2,-46.02,83.53,72,69,1.8,BR,1587224430
arlit,18.74,7.39,105.33,6,0,1.42,NE,1587224431
prince rupert,54.32,-130.32,39.2,100,90,1.5,CA,1587224431
cabot,34.97,-92.02,48.99,61,1,2.6,US,1587224146
nekhayevskiy,50.41,41.76,46.99,58,71,0.89,RU,1587224431
ambon,-3.7,128.18,84.06,71,81,1.75,ID,1587224432
washougal,45.58,-122.35,50.0,76,90,2.1,US,1587224432
lander,42.83,-108.73,35.6,43,1,1.76,US,1587224432
krasnyy chikoy,50.36,108.75,35.04,60,94,3.79,RU,1587224432
caravelas,-17.71,-39.25,76.87,83,97,9.75,BR,1587224433
chipinge,-20.19,32.62,68.52,58,8,2.93,ZW,1587224433
itarema,-2.92,-39.92,85.73,66,48,2.25,BR,1587224433
homer,59.64,-151.55,46.4,87,90,1.34,US,1587224433
mayaky,47.44,29.56,58.6,32,12,3.72,UA,1587224434
muros,42.78,-9.06,64.99,80,44,5.81,ES,1587224434
russkaya polyana,49.42,31.92,51.08,43,95,4.17,UA,1587224434
doctor arroyo,23.67,-100.18,73.13,33,80,1.37,MX,1587224434
kailua,21.4,-157.74,78.8,54,1,3.1,US,1587224435
dunedin,-45.87,170.5,51.01,71,100,0.45,NZ,1587224396
khatanga,71.97,102.5,12.76,93,0,2.76,RU,1587224435
kemijarvi,66.71,27.43,35.2,81,98,4.52,FI,1587224435
waitati,-45.75,170.57,51.01,72,100,2.24,NZ,1587224435
mwandiga,-4.83,29.66,77.7,56,100,0.55,TZ,1587224436
plouzane,48.38,-4.62,62.6,72,40,4.6,FR,1587224324
san cristobal,7.77,-72.22,82.4,65,40,1.5,VE,1587224436
dzaoudzi,-12.79,45.27,84.2,66,75,2.6,YT,1587224436
khani,41.96,42.96,62.6,67,40,6.7,GE,1587224437
yacuiba,-22.04,-63.68,79.97,33,0,1.78,BO,1587224437
madinat sittah uktubar,29.82,31.05,78.8,34,20,7.7,EG,1587224437
abeche,13.83,20.83,101.46,6,56,3.21,TD,1587224437
fortuna,40.6,-124.16,51.01,100,75,1.5,US,1587224438
tautira,-17.73,-149.15,78.8,78,20,1.0,PF,1587224438
pihuamo,19.25,-103.38,82.4,42,5,0.35,MX,1587224438
dubai,25.26,55.3,80.01,74,27,6.2,AE,1587224288
aktau,43.65,51.2,53.6,81,95,1.0,KZ,1587224281
polunochnoye,60.87,60.42,39.16,87,100,1.37,RU,1587224439
lakatoro,-16.1,167.42,81.21,79,64,4.97,VU,1587224439
gobabis,-22.45,18.97,86.0,30,57,10.3,NA,1587224440
pembroke,45.82,-77.12,45.0,33,1,3.1,CA,1587224419
xianshuigu,38.98,117.38,60.8,51,100,1.0,CN,1587224440
calatrava,10.6,123.48,84.2,74,20,2.1,PH,1587224440
hervey bay,-25.3,152.85,73.0,94,58,1.5,AU,1587224441
pacific grove,36.62,-121.92,57.2,62,90,2.64,US,1587224441
mount forest,43.98,-80.72,43.0,78,61,4.92,CA,1587224441
novovelichkovskaya,45.28,38.84,64.0,43,97,0.89,RU,1587224441
saint-francois,46.42,3.91,71.6,43,98,2.1,FR,1587224442
buala,-8.14,159.59,80.08,81,97,1.84,SB,1587224442
fortuna foothills,32.66,-114.41,63.0,45,1,2.6,US,1587224442
rochegda,62.8,43.25,39.29,72,76,0.42,RU,1587224442
abu zabad,12.35,29.25,98.51,7,0,2.35,SD,1587224443
ayr,55.46,-4.63,59.0,44,20,3.6,GB,1587224267
ust-ilimsk,58.0,102.66,23.47,89,4,3.47,RU,1587224335
gravdal,68.12,13.5,40.37,90,81,4.74,NO,1587224443
zhezkazgan,47.8,67.71,63.95,34,95,1.89,KZ,1587224443
galle,6.04,80.22,82.9,78,78,3.12,LK,1587224412
ouro preto do oeste,-10.75,-62.22,77.0,69,86,2.89,BR,1587224444
rawson,-43.3,-65.1,64.11,69,100,5.81,AR,1587224240
flic en flac,-20.27,57.36,78.8,74,75,6.7,MU,1587224444
sola,-13.88,167.55,82.24,77,54,4.42,VU,1587224444
petropavlovsk-kamchatskiy,53.05,158.65,32.0,90,0,3.0,RU,1587224445
margate,51.38,1.39,48.04,87,8,6.16,GB,1587224445
noshiro,40.2,140.02,47.46,74,100,10.6,JP,1587224445
harrison,30.41,-89.04,77.0,73,75,4.1,US,1587224445
pangai,-19.8,-174.35,79.12,83,77,8.04,TO,1587224446
cayenne,4.93,-52.33,86.0,70,75,3.6,GF,1587224446
bathsheba,13.22,-59.52,86.0,58,40,9.8,BB,1587224446
shushenskoye,53.33,91.94,39.2,60,0,2.0,RU,1587224446
dalvik,65.97,-18.53,50.0,57,75,20.1,IS,1587224402
asau,46.43,26.4,66.2,29,71,2.1,RO,1587224447
tiznit,29.58,-9.5,66.76,45,6,5.14,MA,1587224283
eregli,37.51,34.05,67.62,25,100,2.2,TR,1587224447
honningsvag,70.98,25.97,37.45,79,91,6.69,NO,1587224447
krasnyy yar,46.53,48.35,66.2,20,82,5.0,RU,1587224447
sao joao da barra,-21.64,-41.05,78.8,61,75,4.1,BR,1587224448
alice springs,-23.7,133.88,66.2,45,0,2.1,AU,1587224448
tuatapere,-46.13,167.68,45.0,94,100,2.24,NZ,1587224449
mackenzie,55.3,-123.17,32.0,68,1,0.48,CA,1587224449
tari,12.41,4.49,105.57,10,7,3.03,NG,1587224449
catemaco,18.42,-95.12,86.0,79,5,0.81,MX,1587224450
portlethen,57.05,-2.13,50.0,65,75,4.6,GB,1587224450
ornskoldsvik,63.29,18.72,51.8,34,0,5.7,SE,1587224363
mana,5.66,-53.78,84.06,74,69,3.79,GF,1587224450
cabedelo,-6.98,-34.83,86.0,74,40,3.6,BR,1587224450
narsaq,60.92,-46.05,30.2,54,75,1.5,GL,1587224451
kulu,39.1,33.08,67.46,25,18,4.78,TR,1587224451
mogadishu,2.04,45.34,85.05,72,77,5.84,SO,1587224451
svetlogorsk,52.63,29.73,45.99,53,92,5.01,BY,1587224451
danielskuil,-28.19,23.54,77.63,20,52,6.11,ZA,1587224451
nantucket,41.28,-70.1,42.8,93,90,7.7,US,1587224452
gayny,60.31,54.32,35.11,94,100,1.57,RU,1587224452
tocopilla,-22.09,-70.2,82.9,23,31,1.68,CL,1587224452
leirvik,59.78,5.5,51.01,65,0,1.34,NO,1587224453
vao,-22.67,167.48,74.62,70,9,4.67,NC,1587224453
moshkovo,55.31,83.61,51.8,37,1,3.0,RU,1587224453
springbok,-29.66,17.89,80.1,15,3,4.74,ZA,1587224453
bulawayo,-20.15,28.58,76.82,28,0,5.76,ZW,1587224316
svobodnyy,51.4,128.13,38.88,55,100,5.09,RU,1587224454
kuusamo,65.97,29.18,35.6,64,75,5.1,FI,1587224454
lodja,-3.48,23.43,81.23,76,29,0.99,CD,1587224454
sargur,11.98,76.42,78.15,57,46,3.24,IN,1587224454
qui nhon,13.77,109.23,76.93,89,41,1.29,VN,1587224454
axim,4.87,-2.24,86.38,69,61,5.87,GH,1587224454
ola,59.58,151.28,11.1,92,100,7.04,RU,1587224455
coquimbo,-29.95,-71.34,57.2,93,90,3.1,CL,1587224287
tchollire,8.4,14.17,105.35,10,51,2.89,CM,1587224455
yelovo,57.05,54.92,40.24,69,97,4.06,RU,1587224455
turkistan,43.0,68.0,71.24,20,0,2.71,KZ,1587224102
sayyan,15.17,44.32,66.61,28,96,1.11,YE,1587224456
high prairie,55.43,-116.49,30.45,78,20,2.47,CA,1587224175
karangampel,-6.46,108.45,81.9,78,100,1.61,ID,1587224456
